split,subject,class,segment_id,onset_EDA_s,onset_BVP_s,onset_RESP_s,onset_consensus_s,onset_spread_s
train,6,PainArm,6_PainArm_5,,,3.32,3.32,0.0
train,6,PainHand,6_PainHand_5,,,2.87,2.87,0.0
train,6,PainHand,6_PainHand_10,,1.7,3.82,2.76,2.12
train,6,PainArm,6_PainArm_11,,1.84,,1.84,0.0
train,6,PainHand,6_PainHand_11,,,3.19,3.19,0.0
train,8,PainHand,8_PainHand_2,,,2.6,2.6,0.0
train,8,PainArm,8_PainArm_2,,2.36,2.53,2.445,0.16999999999999993
train,8,PainHand,8_PainHand_3,,,2.21,2.21,0.0
train,8,PainHand,8_PainHand_4,2.32,2.16,2.17,2.17,0.1599999999999997
train,8,PainArm,8_PainArm_3,,,2.04,2.04,0.0
train,8,PainArm,8_PainArm_4,,3.66,3.4,3.5300000000000002,0.26000000000000023
train,8,PainArm,8_PainArm_5,,2.72,2.25,2.4850000000000003,0.4700000000000002
train,8,PainHand,8_PainHand_5,,3.4,2.29,2.8449999999999998,1.1099999999999999
train,8,PainHand,8_PainHand_6,,1.92,2.86,2.3899999999999997,0.94
train,8,PainArm,8_PainArm_6,2.45,3.01,3.09,3.01,0.6399999999999997
train,8,PainArm,8_PainArm_7,,2.83,3.59,3.21,0.7599999999999998
train,8,PainHand,8_PainHand_7,3.65,3.55,2.36,3.55,1.29
train,8,PainArm,8_PainArm_8,,2.8,2.65,2.7249999999999996,0.1499999999999999
train,8,PainHand,8_PainHand_8,,2.47,2.41,2.4400000000000004,0.06000000000000005
train,8,PainArm,8_PainArm_9,,,2.0,2.0,0.0
train,8,PainHand,8_PainHand_9,,1.34,2.19,1.7650000000000001,0.8499999999999999
train,8,PainArm,8_PainArm_10,,,3.0,3.0,0.0
train,8,PainHand,8_PainHand_10,,3.83,3.4,3.615,0.43000000000000016
train,8,PainArm,8_PainArm_11,,,2.18,2.18,0.0
train,8,PainHand,8_PainHand_11,,3.26,2.41,2.835,0.8499999999999996
train,8,PainArm,8_PainArm_12,,,2.47,2.47,0.0
train,8,PainHand,8_PainHand_12,,3.41,2.05,2.73,1.3600000000000003
train,11,PainArm,11_PainArm_1,,2.54,2.64,2.59,0.10000000000000009
train,11,PainHand,11_PainHand_1,,,2.87,2.87,0.0
train,11,PainArm,11_PainArm_2,,3.64,3.35,3.495,0.29000000000000004
train,11,PainHand,11_PainHand_2,,,2.29,2.29,0.0
train,11,PainArm,11_PainArm_3,,1.97,2.01,1.9899999999999998,0.039999999999999813
train,11,PainHand,11_PainHand_3,,3.37,3.97,3.67,0.6000000000000001
train,11,PainArm,11_PainArm_4,,3.38,2.54,2.96,0.8399999999999999
train,11,PainHand,11_PainHand_4,,2.99,3.77,3.38,0.7799999999999998
train,11,PainHand,11_PainHand_5,,,2.44,2.44,0.0
train,11,PainArm,11_PainArm_5,,2.9,2.28,2.59,0.6200000000000001
train,11,PainHand,11_PainHand_6,,2.96,2.93,2.9450000000000003,0.029999999999999805
train,11,PainArm,11_PainArm_6,,3.93,3.25,3.59,0.6800000000000002
train,11,PainHand,11_PainHand_7,3.0,,3.07,3.035,0.06999999999999984
train,11,PainArm,11_PainArm_7,,3.53,2.18,2.855,1.3499999999999996
train,11,PainArm,11_PainArm_8,,2.18,2.04,2.1100000000000003,0.14000000000000012
train,11,PainHand,11_PainHand_8,,,2.49,2.49,0.0
train,11,PainArm,11_PainArm_9,,,2.47,2.47,0.0
train,11,PainHand,11_PainHand_9,,,3.39,3.39,0.0
train,11,PainArm,11_PainArm_10,,2.12,2.79,2.455,0.6699999999999999
train,11,PainHand,11_PainHand_10,,3.39,2.42,2.9050000000000002,0.9700000000000002
train,11,PainArm,11_PainArm_11,,,3.87,3.87,0.0
train,11,PainHand,11_PainHand_11,,,2.72,2.72,0.0
train,11,PainHand,11_PainHand_12,,3.55,,3.55,0.0
train,11,PainArm,11_PainArm_12,,2.92,2.37,2.645,0.5499999999999998
train,12,PainHand,12_PainHand_1,,,2.85,2.85,0.0
train,12,PainArm,12_PainArm_1,,,3.0,3.0,0.0
train,12,PainArm,12_PainArm_2,,3.24,2.14,2.6900000000000004,1.1
train,12,PainHand,12_PainHand_2,,2.93,3.3,3.115,0.36999999999999966
train,12,PainHand,12_PainHand_3,,3.64,3.58,3.6100000000000003,0.06000000000000005
train,12,PainArm,12_PainArm_3,,3.26,3.53,3.3949999999999996,0.27
train,12,PainHand,12_PainHand_4,,,2.41,2.41,0.0
train,12,PainArm,12_PainArm_4,,2.96,2.92,2.94,0.040000000000000036
train,12,PainArm,12_PainArm_5,,2.6,3.55,3.075,0.9499999999999997
train,12,PainHand,12_PainHand_5,,2.58,3.38,2.98,0.7999999999999998
train,12,PainHand,12_PainHand_6,,2.74,2.2,2.47,0.54
train,12,PainArm,12_PainArm_6,,,2.15,2.15,0.0
train,12,PainArm,12_PainArm_7,,3.18,2.64,2.91,0.54
train,12,PainHand,12_PainHand_7,,3.7,2.09,2.895,1.6100000000000003
train,12,PainHand,12_PainHand_8,,2.95,3.11,3.0300000000000002,0.1599999999999997
train,12,PainHand,12_PainHand_9,,,2.1,2.1,0.0
train,12,PainHand,12_PainHand_10,,3.9,3.25,3.575,0.6499999999999999
train,12,PainArm,12_PainArm_9,,3.44,2.1,2.77,1.3399999999999999
train,12,PainArm,12_PainArm_10,,,3.34,3.34,0.0
train,12,PainHand,12_PainHand_11,,,2.37,2.37,0.0
train,12,PainArm,12_PainArm_11,,2.99,2.69,2.84,0.30000000000000027
train,12,PainArm,12_PainArm_12,3.84,2.59,2.06,2.59,1.7799999999999998
train,12,PainHand,12_PainHand_12,,3.44,2.13,2.785,1.31
train,13,PainHand,13_PainHand_1,,2.22,2.36,2.29,0.13999999999999968
train,13,PainArm,13_PainArm_1,,2.26,2.36,2.3099999999999996,0.10000000000000009
train,13,PainHand,13_PainHand_2,,2.32,2.58,2.45,0.26000000000000023
train,13,PainArm,13_PainArm_2,,1.56,2.35,1.955,0.79
train,13,PainHand,13_PainHand_3,,3.89,2.09,2.99,1.8000000000000003
train,13,PainHand,13_PainHand_4,,2.06,3.64,2.85,1.58
train,13,PainArm,13_PainArm_3,,1.79,2.66,2.225,0.8700000000000001
train,13,PainArm,13_PainArm_4,,2.93,2.8,2.865,0.13000000000000034
train,13,PainArm,13_PainArm_5,,3.43,2.0,2.715,1.4300000000000002
train,13,PainHand,13_PainHand_5,,,3.02,3.02,0.0
train,13,PainHand,13_PainHand_6,,1.9,2.3,2.0999999999999996,0.3999999999999999
train,13,PainArm,13_PainArm_6,,2.3,2.24,2.27,0.05999999999999961
train,13,PainArm,13_PainArm_7,,2.22,2.79,2.505,0.5699999999999998
train,13,PainHand,13_PainHand_7,3.76,1.37,3.15,3.76,2.3899999999999997
train,13,PainArm,13_PainArm_8,,2.52,3.8,3.16,1.2799999999999998
train,13,PainHand,13_PainHand_8,,2.74,3.33,3.035,0.5899999999999999
train,13,PainHand,13_PainHand_9,,2.52,2.34,2.4299999999999997,0.18000000000000016
train,13,PainArm,13_PainArm_9,,2.8,2.74,2.77,0.05999999999999961
train,13,PainArm,13_PainArm_10,,1.51,2.32,1.915,0.8099999999999998
train,13,PainHand,13_PainHand_10,,,2.11,2.11,0.0
train,13,PainHand,13_PainHand_11,,,2.6,2.6,0.0
train,13,PainHand,13_PainHand_12,,,2.15,2.15,0.0
train,13,PainArm,13_PainArm_11,2.01,2.5,2.26,2.26,0.4900000000000002
train,13,PainArm,13_PainArm_12,,2.69,2.98,2.835,0.29000000000000004
train,15,PainHand,15_PainHand_1,,1.9,2.68,2.29,0.7800000000000002
train,15,PainArm,15_PainArm_3,,,2.02,2.02,0.0
train,15,PainHand,15_PainHand_6,,2.09,2.17,2.13,0.08000000000000007
train,15,PainHand,15_PainHand_7,,3.68,2.03,2.855,1.6500000000000004
train,15,PainHand,15_PainHand_8,,2.88,2.67,2.775,0.20999999999999996
train,15,PainArm,15_PainArm_5,,2.06,2.15,2.105,0.08999999999999986
train,15,PainArm,15_PainArm_7,,,3.05,3.05,0.0
train,15,PainArm,15_PainArm_8,,,2.15,2.15,0.0
train,15,PainArm,15_PainArm_9,,2.09,2.09,2.09,0.0
train,15,PainArm,15_PainArm_10,,,2.13,2.13,0.0
train,15,PainHand,15_PainHand_11,,3.35,2.24,2.795,1.1099999999999999
train,15,PainHand,15_PainHand_12,,,2.14,2.14,0.0
train,15,PainArm,15_PainArm_12,,1.78,2.26,2.02,0.47999999999999976
train,16,PainArm,16_PainArm_1,,3.35,2.17,2.76,1.1800000000000002
train,16,PainArm,16_PainArm_2,,2.95,2.34,2.645,0.6100000000000003
train,16,PainHand,16_PainHand_1,,2.5,2.24,2.37,0.2599999999999998
train,16,PainHand,16_PainHand_2,,2.11,2.29,2.2,0.18000000000000016
train,16,PainArm,16_PainArm_4,,2.14,2.28,2.21,0.13999999999999968
train,16,PainHand,16_PainHand_4,,2.76,2.26,2.51,0.5
train,16,PainArm,16_PainArm_5,,,2.06,2.06,0.0
train,16,PainArm,16_PainArm_6,,2.69,2.06,2.375,0.6299999999999999
train,16,PainHand,16_PainHand_5,,3.63,2.48,3.0549999999999997,1.15
train,16,PainHand,16_PainHand_6,,2.97,2.47,2.72,0.5
train,16,PainArm,16_PainArm_7,,,2.22,2.22,0.0
train,16,PainArm,16_PainArm_8,,3.76,2.07,2.915,1.69
train,16,PainHand,16_PainHand_7,,,2.02,2.02,0.0
train,16,PainArm,16_PainArm_9,,2.55,2.74,2.645,0.1900000000000004
train,16,PainArm,16_PainArm_10,2.0,2.22,2.71,2.22,0.71
train,16,PainHand,16_PainHand_8,3.1,,2.1,2.6,1.0
train,16,PainHand,16_PainHand_9,,,2.14,2.14,0.0
train,16,PainHand,16_PainHand_10,,3.52,2.24,2.88,1.2799999999999998
train,16,PainArm,16_PainArm_11,,,2.17,2.17,0.0
train,16,PainHand,16_PainHand_11,,,2.18,2.18,0.0
train,16,PainHand,16_PainHand_12,2.03,,2.27,2.15,0.2400000000000002
train,16,PainArm,16_PainArm_12,,,2.74,2.74,0.0
train,18,PainArm,18_PainArm_1,,,2.41,2.41,0.0
train,18,PainArm,18_PainArm_2,,,3.21,3.21,0.0
train,18,PainHand,18_PainHand_2,,2.81,2.38,2.5949999999999998,0.43000000000000016
train,18,PainArm,18_PainArm_3,,,2.33,2.33,0.0
train,18,PainArm,18_PainArm_6,,1.59,2.58,2.085,0.99
train,18,PainHand,18_PainHand_3,,2.01,2.53,2.2699999999999996,0.52
train,18,PainArm,18_PainArm_7,,2.0,3.08,2.54,1.08
train,18,PainArm,18_PainArm_8,,2.05,2.32,2.1849999999999996,0.27
train,18,PainHand,18_PainHand_4,,2.08,2.85,2.465,0.77
train,18,PainHand,18_PainHand_6,2.91,,3.15,3.0300000000000002,0.23999999999999977
train,18,PainArm,18_PainArm_9,,2.84,2.45,2.645,0.3899999999999997
train,18,PainHand,18_PainHand_7,,2.86,2.11,2.485,0.75
train,18,PainHand,18_PainHand_8,,,2.36,2.36,0.0
train,18,PainHand,18_PainHand_9,,3.28,2.68,2.98,0.5999999999999996
train,18,PainHand,18_PainHand_10,,,2.49,2.49,0.0
train,18,PainHand,18_PainHand_11,2.38,1.62,3.16,2.38,1.54
train,18,PainArm,18_PainArm_10,,,3.01,3.01,0.0
train,18,PainArm,18_PainArm_11,,1.82,2.03,1.9249999999999998,0.20999999999999974
train,18,PainHand,18_PainHand_12,,3.93,2.09,3.01,1.8400000000000003
train,18,PainArm,18_PainArm_12,2.02,1.72,2.78,2.02,1.0599999999999998
train,21,PainArm,21_PainArm_1,,,2.75,2.75,0.0
train,21,PainArm,21_PainArm_2,,1.64,2.08,1.8599999999999999,0.44000000000000017
train,21,PainHand,21_PainHand_1,,,2.4,2.4,0.0
train,21,PainHand,21_PainHand_2,,2.47,2.34,2.4050000000000002,0.13000000000000034
train,21,PainArm,21_PainArm_4,,2.44,2.21,2.325,0.22999999999999998
train,21,PainArm,21_PainArm_5,,2.79,2.37,2.58,0.41999999999999993
train,21,PainArm,21_PainArm_8,,2.83,2.4,2.615,0.43000000000000016
train,21,PainHand,21_PainHand_7,,1.7,3.3,2.5,1.5999999999999999
train,21,PainHand,21_PainHand_11,,2.12,2.74,2.43,0.6200000000000001
train,22,PainArm,22_PainArm_1,,3.29,,3.29,0.0
train,22,PainArm,22_PainArm_2,,,3.04,3.04,0.0
train,22,PainHand,22_PainHand_1,,1.99,,1.99,0.0
train,22,PainHand,22_PainHand_2,,2.59,2.54,2.565,0.04999999999999982
train,22,PainArm,22_PainArm_3,,,2.11,2.11,0.0
train,22,PainArm,22_PainArm_4,,2.49,2.68,2.585,0.18999999999999995
train,22,PainHand,22_PainHand_3,,2.91,2.06,2.4850000000000003,0.8500000000000001
train,22,PainHand,22_PainHand_4,,2.69,3.18,2.935,0.4900000000000002
train,22,PainArm,22_PainArm_5,,2.93,2.06,2.495,0.8700000000000001
train,22,PainArm,22_PainArm_6,,2.91,2.57,2.74,0.3400000000000003
train,22,PainHand,22_PainHand_5,,3.75,2.15,2.95,1.6
train,22,PainHand,22_PainHand_6,,2.99,2.4,2.6950000000000003,0.5900000000000003
train,22,PainArm,22_PainArm_7,,2.53,2.19,2.36,0.33999999999999986
train,22,PainArm,22_PainArm_8,,2.23,2.9,2.565,0.6699999999999999
train,22,PainHand,22_PainHand_7,,3.13,3.44,3.285,0.31000000000000005
train,22,PainArm,22_PainArm_9,,2.55,2.47,2.51,0.07999999999999963
train,22,PainArm,22_PainArm_10,,3.12,3.01,3.065,0.11000000000000032
train,22,PainHand,22_PainHand_8,,,3.33,3.33,0.0
train,22,PainHand,22_PainHand_9,,,2.62,2.62,0.0
train,22,PainHand,22_PainHand_10,,1.83,2.42,2.125,0.5899999999999999
train,22,PainArm,22_PainArm_11,,2.49,2.0,2.245,0.4900000000000002
train,22,PainHand,22_PainHand_11,,1.84,2.44,2.14,0.5999999999999999
train,22,PainHand,22_PainHand_12,3.25,2.38,2.45,2.45,0.8700000000000001
train,22,PainArm,22_PainArm_12,,2.5,2.39,2.4450000000000003,0.10999999999999988
train,24,PainArm,24_PainArm_1,,3.51,3.38,3.445,0.1299999999999999
train,24,PainArm,24_PainArm_2,,,3.42,3.42,0.0
train,24,PainHand,24_PainHand_1,,,2.14,2.14,0.0
train,24,PainArm,24_PainArm_3,2.44,1.61,2.88,2.44,1.2699999999999998
train,24,PainArm,24_PainArm_4,,,2.61,2.61,0.0
train,24,PainHand,24_PainHand_3,,2.05,3.05,2.55,1.0
train,24,PainHand,24_PainHand_4,3.62,1.92,2.17,2.17,1.7000000000000002
train,24,PainArm,24_PainArm_5,,2.67,2.0,2.335,0.6699999999999999
train,24,PainArm,24_PainArm_6,2.17,2.34,2.84,2.34,0.6699999999999999
train,24,PainHand,24_PainHand_5,,1.35,3.58,2.465,2.23
train,24,PainHand,24_PainHand_6,,2.57,3.27,2.92,0.7000000000000002
train,24,PainArm,24_PainArm_7,,2.84,2.85,2.8449999999999998,0.010000000000000231
train,24,PainArm,24_PainArm_8,,1.53,2.41,1.9700000000000002,0.8800000000000001
train,24,PainHand,24_PainHand_7,2.62,2.09,2.09,2.09,0.5300000000000002
train,24,PainArm,24_PainArm_9,,,3.36,3.36,0.0
train,24,PainArm,24_PainArm_10,2.41,1.38,2.99,2.41,1.6100000000000003
train,24,PainHand,24_PainHand_8,,,2.95,2.95,0.0
train,24,PainHand,24_PainHand_9,,2.85,2.49,2.67,0.3599999999999999
train,24,PainHand,24_PainHand_10,2.17,3.78,2.55,2.55,1.6099999999999999
train,24,PainArm,24_PainArm_11,,2.02,2.05,2.035,0.029999999999999805
train,24,PainHand,24_PainHand_11,,2.33,2.24,2.285,0.08999999999999986
train,24,PainHand,24_PainHand_12,,2.32,2.33,2.325,0.010000000000000231
train,24,PainArm,24_PainArm_12,,2.61,2.22,2.415,0.3899999999999997
train,25,PainArm,25_PainArm_2,,,2.07,2.07,0.0
train,25,PainHand,25_PainHand_3,,,2.22,2.22,0.0
train,25,PainArm,25_PainArm_3,,,2.98,2.98,0.0
train,25,PainHand,25_PainHand_5,,,2.69,2.69,0.0
train,25,PainHand,25_PainHand_6,,,2.02,2.02,0.0
train,25,PainHand,25_PainHand_7,,,3.36,3.36,0.0
train,25,PainHand,25_PainHand_9,,,,,
train,25,PainArm,25_PainArm_5,,,2.0,2.0,0.0
train,25,PainArm,25_PainArm_6,,,2.72,2.72,0.0
train,25,PainArm,25_PainArm_8,3.59,,3.61,3.5999999999999996,0.020000000000000018
train,25,PainArm,25_PainArm_9,,,2.8,2.8,0.0
train,25,PainHand,25_PainHand_11,,,3.59,3.59,0.0
train,25,PainArm,25_PainArm_12,,,3.58,3.58,0.0
train,27,PainHand,27_PainHand_2,,,2.0,2.0,0.0
train,27,PainArm,27_PainArm_1,,,2.45,2.45,0.0
train,27,PainArm,27_PainArm_2,2.66,,2.45,2.555,0.20999999999999996
train,27,PainHand,27_PainHand_3,,,2.21,2.21,0.0
train,27,PainHand,27_PainHand_4,,2.62,2.5,2.56,0.1200000000000001
train,27,PainArm,27_PainArm_3,,,2.97,2.97,0.0
train,27,PainArm,27_PainArm_4,,,2.74,2.74,0.0
train,27,PainHand,27_PainHand_5,2.41,,2.9,2.6550000000000002,0.48999999999999977
train,27,PainArm,27_PainArm_5,,2.59,2.04,2.315,0.5499999999999998
train,27,PainHand,27_PainHand_6,3.38,,2.12,2.75,1.2599999999999998
train,27,PainArm,27_PainArm_6,,,2.58,2.58,0.0
train,27,PainArm,27_PainArm_7,,,2.23,2.23,0.0
train,27,PainHand,27_PainHand_7,,,3.06,3.06,0.0
train,27,PainHand,27_PainHand_8,,,2.4,2.4,0.0
train,27,PainHand,27_PainHand_9,,,2.14,2.14,0.0
train,27,PainArm,27_PainArm_8,,,2.77,2.77,0.0
train,27,PainArm,27_PainArm_9,,1.77,2.09,1.93,0.31999999999999984
train,27,PainHand,27_PainHand_10,,,2.0,2.0,0.0
train,27,PainArm,27_PainArm_10,,,2.68,2.68,0.0
train,27,PainArm,27_PainArm_11,,,2.23,2.23,0.0
train,27,PainHand,27_PainHand_11,,2.91,2.03,2.4699999999999998,0.8800000000000003
train,27,PainArm,27_PainArm_12,,,2.85,2.85,0.0
train,27,PainHand,27_PainHand_12,,,2.01,2.01,0.0
train,29,PainHand,29_PainHand_1,,2.47,3.31,2.89,0.8399999999999999
train,29,PainHand,29_PainHand_2,,1.7,2.01,1.855,0.30999999999999983
train,29,PainArm,29_PainArm_1,,3.08,,3.08,0.0
train,29,PainArm,29_PainArm_2,2.06,,2.4,2.23,0.33999999999999986
train,29,PainHand,29_PainHand_3,,,2.83,2.83,0.0
train,29,PainHand,29_PainHand_4,,1.88,2.54,2.21,0.6600000000000001
train,29,PainHand,29_PainHand_5,,,2.55,2.55,0.0
train,29,PainHand,29_PainHand_6,,3.17,3.47,3.3200000000000003,0.30000000000000027
train,29,PainHand,29_PainHand_7,,2.75,2.65,2.7,0.10000000000000009
train,29,PainArm,29_PainArm_4,,3.0,2.07,2.535,0.9300000000000002
train,29,PainHand,29_PainHand_8,2.61,,2.46,2.535,0.1499999999999999
train,29,PainHand,29_PainHand_9,,3.76,3.28,3.5199999999999996,0.48
train,29,PainArm,29_PainArm_5,,,2.24,2.24,0.0
train,29,PainHand,29_PainHand_10,,1.82,2.42,2.12,0.5999999999999999
train,29,PainArm,29_PainArm_6,,,3.35,3.35,0.0
train,29,PainArm,29_PainArm_7,,2.97,2.23,2.6,0.7400000000000002
train,29,PainArm,29_PainArm_8,,3.59,2.07,2.83,1.52
train,29,PainArm,29_PainArm_9,,,2.8,2.8,0.0
train,29,PainArm,29_PainArm_10,,3.06,2.35,2.705,0.71
train,29,PainArm,29_PainArm_11,,3.27,3.91,3.59,0.6400000000000001
train,29,PainHand,29_PainHand_11,,3.36,3.78,3.57,0.41999999999999993
train,29,PainHand,29_PainHand_12,2.13,,,2.13,0.0
train,29,PainArm,29_PainArm_12,2.95,1.92,2.28,2.28,1.0300000000000002
train,30,PainArm,30_PainArm_1,,2.78,2.13,2.455,0.6499999999999999
train,30,PainArm,30_PainArm_2,,2.36,2.26,2.3099999999999996,0.10000000000000009
train,30,PainHand,30_PainHand_1,,1.44,2.51,1.9749999999999999,1.0699999999999998
train,30,PainHand,30_PainHand_4,,1.65,2.18,1.915,0.5300000000000002
train,30,PainHand,30_PainHand_5,2.88,,3.06,2.9699999999999998,0.18000000000000016
train,30,PainHand,30_PainHand_7,,,2.18,2.18,0.0
train,30,PainArm,30_PainArm_9,,,2.17,2.17,0.0
train,30,PainHand,30_PainHand_9,,1.71,2.52,2.115,0.81
