feature,channel
raw_Eda_mean,eda
raw_Eda_std,eda
raw_Eda_min,eda
raw_Eda_max,eda
Eda_median,eda
raw_Eda_iqr,eda
raw_Eda_skew,eda
raw_Eda_kurtosis,eda
Eda_range,eda
raw_Eda_mad,eda
raw_Eda_rms,eda
Eda_cv,eda
Eda_diff_std,eda
Eda_n_extrema,eda
raw_Resp_mean,resp
raw_Resp_std,resp
raw_Resp_min,resp
raw_Resp_max,resp
Resp_median,resp
raw_Resp_iqr,resp
raw_Resp_skew,resp
raw_Resp_kurtosis,resp
Resp_range,resp
raw_Resp_mad,resp
raw_Resp_rms,resp
Resp_cv,resp
Resp_diff_std,resp
Resp_n_extrema,resp
raw_SpO2_mean,spo2
raw_SpO2_std,spo2
raw_SpO2_min,spo2
raw_SpO2_max,spo2
SpO2_median,spo2
raw_SpO2_iqr,spo2
SpO2_range,spo2
raw_SpO2_mad,spo2
raw_SpO2_rms,spo2
SpO2_cv,spo2
SpO2_diff_std,spo2
SpO2_n_extrema,spo2
