feature_name,signal,category,description
Eda_peak_power,Eda,freq,PSD at peak frequency
Eda_peak_rel_power,Eda,freq,Peak power / total power
Eda_perm_entropy,Eda,entropy,Permutation entropy (m=3)
Eda_petrosian_fd,Eda,fractal,Petrosian fractal dimension
Eda_rms,Eda,time,Root mean square
Eda_samp_entropy,Eda,entropy,"Sample entropy (m=2, r=0.2*std)"
Eda_skew,Eda,time,Fisher skewness
Eda_spec_bandwidth,Eda,freq,RMS bandwidth (same as spread)
Eda_spec_centroid,Eda,freq,Power-weighted mean frequency
Eda_spec_edge_95,Eda,freq,Frequency below which 95% of power lies
Eda_spec_entropy,Eda,freq,Shannon entropy of normalised PSD
Eda_spec_flatness,Eda,freq,Geometric/arithmetic mean ratio of PSD
Eda_spec_spread,Eda,freq,Power-weighted std around centroid
Eda_std,Eda,time,Standard deviation
Eda_total_power,Eda,freq,Integrated PSD across all freqs
Eda_zcr,Eda,time,Zero-crossing rate (mean-subtracted)
Resp_approx_entropy,Resp,entropy,Approximate entropy (m=2)
Resp_bp_breathing,Resp,freq,Band power in breathing band
Resp_bp_breathing_rel,Resp,freq,Relative band power in breathing band
Resp_dfa_alpha,Resp,fractal,Detrended fluctuation analysis alpha
Resp_dom_freq_breathing,Resp,freq,Dominant freq in RESP 0.1-0.5 Hz
Resp_energy,Resp,time,Sum of squared amplitudes
Resp_hjorth_activity,Resp,time,Variance
Resp_hjorth_complexity,Resp,time,Mobility(dx)/Mobility(x)
Resp_hjorth_mobility,Resp,time,Sqrt(var(dx)/var(x))
Resp_iqr,Resp,time,Interquartile range
Resp_kurtosis,Resp,time,Excess kurtosis
Resp_mad,Resp,time,Median absolute deviation
Resp_max,Resp,time,Maximum
Resp_mcr,Resp,time,Mean-crossing rate
Resp_mean,Resp,time,Mean
Resp_mean_abs,Resp,time,Mean absolute value
Resp_mean_freq,Resp,freq,Mean frequency (=centroid)
Resp_min,Resp,time,Minimum
Resp_p10,Resp,time,10th percentile
Resp_p90,Resp,time,90th percentile
Resp_peak_freq,Resp,freq,Frequency of PSD maximum
Resp_peak_power,Resp,freq,PSD at peak frequency
Resp_peak_rel_power,Resp,freq,Peak power / total power
Resp_perm_entropy,Resp,entropy,Permutation entropy (m=3)
Resp_petrosian_fd,Resp,fractal,Petrosian fractal dimension
Resp_rms,Resp,time,Root mean square
Resp_samp_entropy,Resp,entropy,"Sample entropy (m=2, r=0.2*std)"
Resp_skew,Resp,time,Fisher skewness
Resp_spec_bandwidth,Resp,freq,RMS bandwidth (same as spread)
Resp_spec_centroid,Resp,freq,Power-weighted mean frequency
Resp_spec_edge_95,Resp,freq,Frequency below which 95% of power lies
Resp_spec_entropy,Resp,freq,Shannon entropy of normalised PSD
Resp_spec_flatness,Resp,freq,Geometric/arithmetic mean ratio of PSD
Resp_spec_spread,Resp,freq,Power-weighted std around centroid
Resp_std,Resp,time,Standard deviation
Resp_total_power,Resp,freq,Integrated PSD across all freqs
Resp_zcr,Resp,time,Zero-crossing rate (mean-subtracted)
SpO2_approx_entropy,SpO2,entropy,Approximate entropy (m=2)
SpO2_bp_low,SpO2,freq,Band power in low band
SpO2_bp_low_rel,SpO2,freq,Relative band power in low band
SpO2_dfa_alpha,SpO2,fractal,Detrended fluctuation analysis alpha
SpO2_energy,SpO2,time,Sum of squared amplitudes
SpO2_hjorth_activity,SpO2,time,Variance
SpO2_hjorth_complexity,SpO2,time,Mobility(dx)/Mobility(x)
SpO2_hjorth_mobility,SpO2,time,Sqrt(var(dx)/var(x))
SpO2_iqr,SpO2,time,Interquartile range
SpO2_kurtosis,SpO2,time,Excess kurtosis
SpO2_mad,SpO2,time,Median absolute deviation
SpO2_max,SpO2,time,Maximum
SpO2_mcr,SpO2,time,Mean-crossing rate
SpO2_mean,SpO2,time,Mean
SpO2_mean_abs,SpO2,time,Mean absolute value
SpO2_mean_freq,SpO2,freq,Mean frequency (=centroid)
SpO2_min,SpO2,time,Minimum
SpO2_p10,SpO2,time,10th percentile
SpO2_p90,SpO2,time,90th percentile
SpO2_peak_freq,SpO2,freq,Frequency of PSD maximum
SpO2_peak_power,SpO2,freq,PSD at peak frequency
SpO2_peak_rel_power,SpO2,freq,Peak power / total power
SpO2_perm_entropy,SpO2,entropy,Permutation entropy (m=3)
SpO2_petrosian_fd,SpO2,fractal,Petrosian fractal dimension
SpO2_rms,SpO2,time,Root mean square
SpO2_samp_entropy,SpO2,entropy,"Sample entropy (m=2, r=0.2*std)"
SpO2_skew,SpO2,time,Fisher skewness
SpO2_spec_bandwidth,SpO2,freq,RMS bandwidth (same as spread)
SpO2_spec_centroid,SpO2,freq,Power-weighted mean frequency
SpO2_spec_edge_95,SpO2,freq,Frequency below which 95% of power lies
SpO2_spec_entropy,SpO2,freq,Shannon entropy of normalised PSD
SpO2_spec_flatness,SpO2,freq,Geometric/arithmetic mean ratio of PSD
SpO2_spec_spread,SpO2,freq,Power-weighted std around centroid
SpO2_std,SpO2,time,Standard deviation
SpO2_total_power,SpO2,freq,Integrated PSD across all freqs
SpO2_total_variance,SpO2,freq,Time-domain variance (SpO2)
SpO2_zcr,SpO2,time,Zero-crossing rate (mean-subtracted)
